     H        R_TMM     R_Theory
0.3163       0.4678       0.4675
0.3173       0.4664       0.4661
0.3183       0.4651       0.4648
0.3193       0.4637       0.4634
0.3203       0.4623       0.4620
0.3213       0.4609       0.4606
0.3223       0.4595       0.4592
0.3233       0.4580       0.4577
0.3243       0.4566       0.4562
0.3253       0.4551       0.4547
0.3263       0.4535       0.4532
0.3273       0.4520       0.4516
0.3283       0.4504       0.4501
0.3293       0.4488       0.4485
0.3303       0.4472       0.4468
0.3313       0.4456       0.4452
0.3323       0.4439       0.4435
0.3333       0.4423       0.4419
0.3343       0.4405       0.4402
0.3353       0.4388       0.4384
0.3363       0.4371       0.4367
0.3373       0.4353       0.4349
0.3383       0.4335       0.4331
0.3393       0.4317       0.4313
0.3403       0.4299       0.4294
0.3413       0.4280       0.4276
0.3423       0.4261       0.4257
0.3433       0.4242       0.4238
0.3443       0.4223       0.4218
0.3453       0.4203       0.4199
0.3463       0.4183       0.4179
0.3473       0.4164       0.4159
0.3483       0.4143       0.4138
0.3493       0.4123       0.4118
0.3504       0.4102       0.4097
0.3514       0.4081       0.4076
0.3524       0.4060       0.4055
0.3534       0.4039       0.4033
0.3544       0.4017       0.4012
0.3554       0.3995       0.3990
0.3564       0.3973       0.3968
0.3574       0.3951       0.3945
0.3584       0.3928       0.3923
0.3594       0.3906       0.3900
0.3604       0.3883       0.3877
0.3614       0.3859       0.3853
0.3624       0.3836       0.3830
0.3634       0.3812       0.3806
0.3644       0.3788       0.3782
0.3654       0.3764       0.3758
0.3664       0.3740       0.3734
0.3674       0.3715       0.3709
0.3684       0.3690       0.3684
0.3694       0.3665       0.3659
0.3704       0.3640       0.3634
0.3714       0.3615       0.3608
0.3724       0.3589       0.3582
0.3734       0.3563       0.3556
0.3744       0.3537       0.3530
0.3754       0.3510       0.3504
0.3764       0.3484       0.3477
0.3774       0.3457       0.3450
0.3784       0.3430       0.3423
0.3794       0.3403       0.3396
0.3804       0.3375       0.3368
0.3814       0.3348       0.3340
0.3824       0.3320       0.3313
0.3834       0.3292       0.3284
0.3844       0.3264       0.3256
0.3854       0.3235       0.3228
0.3864       0.3207       0.3199
0.3874       0.3178       0.3170
0.3884       0.3149       0.3141
0.3894       0.3120       0.3112
0.3904       0.3090       0.3082
0.3914       0.3061       0.3053
0.3924       0.3031       0.3023
0.3934       0.3001       0.2993
0.3944       0.2971       0.2963
0.3954       0.2941       0.2932
0.3964       0.2910       0.2902
0.3974       0.2880       0.2871
0.3984       0.2849       0.2841
0.3994       0.2818       0.2810
0.4004       0.2787       0.2779
0.4014       0.2756       0.2747
0.4024       0.2725       0.2716
0.4034       0.2693       0.2685
0.4044       0.2662       0.2653
0.4054       0.2630       0.2621
0.4064       0.2598       0.2589
0.4074       0.2566       0.2557
0.4084       0.2534       0.2525
0.4094       0.2502       0.2493
0.4104       0.2470       0.2461
0.4114       0.2438       0.2429
0.4124       0.2406       0.2396
0.4134       0.2373       0.2364
0.4144       0.2341       0.2331
0.4154       0.2308       0.2299
0.4164       0.2276       0.2266
0.4174       0.2243       0.2234
0.4184       0.2210       0.2201
0.4194       0.2178       0.2168
0.4204       0.2145       0.2135
